Product_code,Brand_name,Colour,Price_current_value,Price_currency,Image_url,Url
1532478,ASOS Tall,Noir,22.99,EUR,images.asos-media.com/products/asos-design-tall-t-shirt-court-coupe-carree-a-coutures-apparentes-et-rayures-effet-tie-dye/13030936-1-black,asos-tall/asos-design-tall-t-shirt-court-coupe-carree-a-coutures-apparentes-et-rayures-effet-tie-dye/prd/13030936?clr=noir&colourWayId=16464391
1531586,ASOS Petite,Imprimé fleuri,48.99,EUR,images.asos-media.com/products/asos-design-petite-robe-longue-a-fleurs-avec-bretelles-dans-le-dos/13020830-1-floralprint,asos-petite/asos-design-petite-robe-longue-a-fleurs-avec-bretelles-dans-le-dos/prd/13020830?clr=imprime-fleuri&colourWayId=16476788
1531581,ASOS Tall,Imprimé fleuri,48.99,EUR,images.asos-media.com/products/asos-design-tall-robe-longue-a-fleurs-avec-bretelles-dans-le-dos/13020567-1-floralprint,asos-tall/asos-design-tall-robe-longue-a-fleurs-avec-bretelles-dans-le-dos/prd/13020567?clr=imprime-fleuri&colourWayId=16476972
1531054,ASOS Petite,Gris,38.99,EUR,images.asos-media.com/products/asos-design-petite-robe-courte-boutonnee-en-velours/13014349-1-grey,asos-petite/asos-design-petite-robe-courte-boutonnee-en-velours/prd/13014349?clr=gris&colourWayId=16473141
1529127,ASOS DESIGN,Noir,35.99,EUR,images.asos-media.com/products/asos-design-combishort-plisse-a-manches-courtes-avec-nud-sur-le-devant/13010694-1-black,asos-design/asos-design-combishort-plisse-a-manches-courtes-avec-nud-sur-le-devant/prd/13010694?clr=noir&colourWayId=16474165
1528835,ASOS Petite,Gris chiné,16.99,EUR,images.asos-media.com/products/asos-design-petite-short-en-molleton/13010664-1-greymarl,asos-petite/asos-design-petite-short-en-molleton/prd/13010664?clr=gris-chine&colourWayId=16459024
1529642,ASOS DESIGN,Rhodium,11.49,EUR,images.asos-media.com/products/asos-design-collier-multirangs-avec-jolis-pendentifs-varies-et-chaine-sertie-de-strass-argente/12995994-1-rhodium,asos-design/asos-design-collier-multirangs-avec-jolis-pendentifs-varies-et-chaine-sertie-de-strass-argente/prd/12995994?clr=rhodium&colourWayId=16464217
1529637,ASOS DESIGN,Doré,5.99,EUR,images.asos-media.com/products/asos-design-boucles-doreilles-fleurs-avec-mini-perles-dore/12995913-1-gold,asos-design/asos-design-boucles-doreilles-fleurs-avec-mini-perles-dore/prd/12995913?clr=dore&colourWayId=16464838
1529062,River Island,Crème,22.99,EUR,images.asos-media.com/products/river-island-polo-cotele-creme/12989083-1-cream,river-island/river-island-polo-cotele-creme/prd/12989083?clr=creme&colourWayId=16467452
1528186,ASOS DESIGN,Imprimé fleuri,69.99,EUR,images.asos-media.com/products/asos-design-robe-mi-longue-froncee-taille-basse-a-motif-floral/12978090-1-floralprint,asos-design/asos-design-robe-mi-longue-froncee-taille-basse-a-motif-floral/prd/12978090?clr=imprime-fleuri&colourWayId=16470236
1526950,WACTT,Multi,5.99,EUR,images.asos-media.com/products/wactt-i-see-it-i-want-it-i-got-it-carte-danniversaire/12962789-1-multi,wactt/wactt-i-see-it-i-want-it-i-got-it-carte-danniversaire/prd/12962789?clr=multi&colourWayId=16446005
1526262,ASOS Curve,Blanc,16.99,EUR,images.asos-media.com/products/asos-design-curve-top-col-roule-a-manches-longues-blanc/12954700-1-white,asos-curve/asos-design-curve-top-col-roule-a-manches-longues-blanc/prd/12954700?clr=blanc&colourWayId=16459958
